DCID,Gender,Married,Dependents,Education,SelfEmployed,ApplicantIncome,CoapplicantIncome,DebtConsolidationAmount,Tenor,CreditHistory,PropertyArea,FacilityStatus
DC001619,Male,No,1,Graduate,No,146700,153050,283600,36,1,Urban,Yes
DC001620,Male,No,0,Graduate,No,146800,153150,283700,36,1,Urban,Yes
DC001621,Male,No,0,Graduate,No,146900,153250,284700,36,1,Urban,Yes
DC001622,Male,Yes,0,Graduate,No,147000,153350,294700,36,1,Urban,Yes
DC001623,Male,No,0,Graduate,No,147100,153450,304700,36,1,Urban,Yes
DC001624,Male,No,0,Graduate,No,147200,153550,314700,36,1,Urban,Yes
DC001625,Female,Yes,0,Graduate,No,147300,153650,324700,36,1,Urban,Yes
DC001626,Male,No,0,Graduate,No,147400,153750,334700,24,1,Urban,Yes
DC001627,Male,Yes,0,Not Graduate,Yes,22260,21620,163700,36,0,Rural,No
DC001628,Male,No,0,Graduate,No,147500,153850,344700,36,1,Urban,Yes
DC001629,Male,Yes,0,Graduate,No,147600,153950,354700,36,1,Urban,Yes
DC001630,Male,No,3,Not Graduate,Yes,22320,21590,163800,24,0,Rural,No
DC001631,Male,No,1,Graduate,No,147700,154050,364700,36,1,Urban,Yes
DC001632,Male,Yes,0,Graduate,No,147800,154150,374700,30,1,Urban,Yes
DC001633,Female,Yes,1,Graduate,No,147900,154250,384700,36,1,Urban,Yes
DC001634,Male,Yes,2,Not Graduate,Yes,74970,21550,163900,36,0,Rural,No
DC001635,Male,Yes,0,Graduate,No,148000,154350,394700,36,1,Urban,Yes
DC001636,Male,Yes,2,Graduate,No,148100,154450,404700,36,1,Urban,Yes
DC001637,Male,No,1,Not Graduate,Yes,74910,21520,164000,36,0,Rural,No
DC001638,Male,Yes,2,Not Graduate,Yes,74890,21510,164100,36,0,Rural,No
DC001639,Male,Yes,2,Not Graduate,Yes,74870,21500,164200,30,0,Rural,No
DC001640,Male,Yes,0,Graduate,No,148200,154550,414700,36,1,Urban,Yes
DC001641,Female,Yes,0,Graduate,No,148300,154650,424700,18,1,Urban,Yes
DC001642,Male,No,0,Graduate,No,148400,154750,434700,36,1,Urban,Yes
DC001643,Male,Yes,2,Graduate,No,148500,154850,444700,36,1,Urban,Yes
DC001644,Female,Yes,0,Graduate,No,148600,154950,454700,36,1,Urban,Yes
DC001645,Female,Yes,0,Graduate,No,148700,155050,464700,36,1,Urban,Yes
DC001646,Female,No,2,Graduate,No,148800,155150,474700,36,1,Urban,Yes
DC001647,Female,Yes,0,Graduate,No,148900,155250,484700,36,1,Urban,Yes
DC001648,Female,Yes,3,Graduate,No,149000,155350,494700,18,1,Urban,Yes
DC001649,Male,Yes,0,Graduate,No,149100,155450,504700,36,1,Urban,Yes
DC001650,Female,No,1,Not Graduate,Yes,74650,21390,164300,36,0,Rural,No
DC001651,Male,No,0,Graduate,No,149200,155550,514700,36,1,Urban,Yes
DC001652,Male,No,0,Graduate,No,149300,155650,524700,36,1,Urban,Yes
DC001653,Male,Yes,3,Not Graduate,Yes,74590,21360,164400,18,0,Rural,No
DC001654,Male,Yes,2,Not Graduate,Yes,74570,21350,164500,36,0,Rural,No
DC001655,Male,Yes,0,Graduate,No,149400,155750,534700,36,1,Urban,Yes
DC001656,Male,Yes,1,Graduate,No,149500,155850,544700,36,1,Urban,Yes
DC001657,Male,Yes,1,Not Graduate,Yes,74510,21320,164600,18,0,Rural,No
DC001658,Male,Yes,3,Graduate,No,149600,155950,554700,36,1,Urban,Yes
DC001659,Male,No,0,Graduate,No,149700,156050,564700,36,1,Urban,Yes
DC001660,Female,No,2,Graduate,No,149800,156150,284700,36,1,Urban,Yes
DC001661,Male,Yes,2,Graduate,No,149900,156250,294700,36,1,Urban,Yes
DC001662,Male,Yes,2,Graduate,No,150000,156350,304700,30,1,Urban,Yes
DC001663,Male,Yes,1,Graduate,No,150100,156450,314700,36,1,Urban,Yes
DC001664,Male,Yes,2,Graduate,No,150200,156550,324700,36,1,Urban,Yes
DC001665,Female,No,0,Not Graduate,Yes,74350,21240,164700,36,0,Rural,No
DC001666,Male,Yes,3,Not Graduate,Yes,74330,21230,164800,36,0,Rural,No
DC001667,Male,Yes,0,Graduate,No,150300,156650,334700,36,1,Urban,Yes
DC001668,Male,Yes,0,Graduate,No,150400,156750,344700,36,1,Urban,Yes
DC001669,Male,Yes,2,Graduate,No,150500,156850,354700,36,1,Urban,Yes
DC001670,Male,Yes,1,Not Graduate,Yes,74250,21190,164900,36,0,Rural,No
DC001671,Male,No,2,Graduate,No,150600,156950,364700,36,1,Urban,Yes
DC001672,Male,Yes,1,Graduate,No,150700,157050,374700,36,1,Urban,Yes
DC001673,Male,Yes,2,Graduate,No,150800,157150,384700,36,1,Urban,Yes
DC001674,Male,No,0,Graduate,No,150900,157250,394700,36,1,Urban,Yes
DC001675,Male,No,0,Not Graduate,Yes,74150,21140,165000,36,0,Rural,No
DC001676,Female,Yes,1,Not Graduate,Yes,74130,21130,165100,36,0,Rural,No
DC001677,Male,No,0,Not Graduate,Yes,74110,21120,165200,36,0,Rural,No
DC001678,Female,No,0,Not Graduate,Yes,74090,21110,165300,36,0,Rural,No
DC001679,Male,Yes,0,Graduate,No,151000,157350,404700,36,1,Urban,Yes
DC001680,Male,Yes,1,Graduate,No,151100,157450,414700,24,1,Urban,Yes
DC001681,Male,Yes,0,Not Graduate,Yes,74030,21080,165400,36,0,Rural,No
DC001682,Male,Yes,0,Graduate,No,151200,157550,424700,24,1,Urban,Yes
DC001683,Male,Yes,1,Graduate,No,151300,157650,434700,36,1,Urban,Yes
DC001684,Male,No,0,Graduate,No,151400,157750,444700,36,1,Urban,Yes
DC001685,Male,No,0,Graduate,No,151500,157850,454700,48,1,Urban,Yes
DC001686,Male,No,0,Graduate,No,151600,157950,464700,36,1,Urban,Yes
DC001687,Male,Yes,2,Graduate,No,151700,158050,474700,36,1,Urban,Yes
DC001688,Male,Yes,1,Not Graduate,Yes,73890,21010,165500,36,0,Rural,No
DC001689,Male,Yes,0,Not Graduate,Yes,73870,21000,165600,30,0,Rural,No
DC001690,Male,Yes,2,Graduate,No,151800,158150,484700,36,1,Urban,Yes
DC001691,Male,Yes,0,Graduate,No,151900,158250,494700,36,1,Urban,Yes
DC001692,Female,Yes,0,Graduate,No,152000,158350,504700,36,1,Urban,Yes
DC001693,Male,No,1,Graduate,No,152100,158450,514700,36,1,Urban,Yes
DC001694,Male,No,0,Not Graduate,Yes,73770,20950,165700,36,0,Rural,No
DC001695,Male,Yes,1,Graduate,No,152200,158550,524700,36,1,Urban,Yes
DC001696,Male,Yes,2,Graduate,No,152300,158650,534700,36,1,Urban,Yes
DC001697,Male,Yes,0,Graduate,No,152400,158750,544700,18,1,Urban,Yes
DC001698,Male,No,0,Graduate,No,152500,158850,554700,36,1,Urban,Yes
DC001699,Male,Yes,3,Graduate,No,152600,158950,564700,36,1,Urban,Yes
DC001700,Male,Yes,2,Graduate,No,152700,159050,284700,48,1,Urban,Yes
DC001701,Male,Yes,1,Not Graduate,Yes,73630,20880,165800,36,0,Rural,No
DC001702,Male,No,0,Graduate,No,152800,159150,294700,36,1,Urban,Yes
DC001703,Male,No,0,Not Graduate,Yes,73590,20860,165900,36,0,Rural,No
DC001704,Male,Yes,2,Not Graduate,Yes,73570,20850,166000,36,0,Rural,No
DC001705,Male,No,0,Graduate,No,152900,159250,304700,36,1,Urban,Yes
DC001706,Female,Yes,3,Graduate,No,153000,159350,314700,36,1,Urban,Yes
DC001707,Male,Yes,2,Graduate,No,153100,159450,324700,36,1,Urban,Yes
DC001708,Female,No,0,Graduate,No,153200,159550,334700,36,1,Urban,Yes
DC001709,Male,Yes,2,Graduate,No,153300,159650,344700,36,1,Urban,Yes
DC001710,Male,Yes,0,Graduate,No,153400,159750,354700,36,1,Urban,Yes
DC001711,Female,Yes,1,Not Graduate,Yes,73430,20780,166100,36,0,Rural,No
DC001712,Male,No,1,Not Graduate,Yes,73410,20770,166200,36,0,Rural,No
DC001713,Male,No,0,Not Graduate,Yes,73390,20760,166300,36,0,Rural,No
DC001714,Female,Yes,0,Graduate,No,153500,159850,364700,24,1,Urban,Yes
DC001715,Male,Yes,3,Graduate,No,153600,159950,374700,36,1,Urban,Yes
DC001716,Female,No,2,Graduate,No,153700,160050,384700,36,1,Urban,Yes
DC001717,Female,No,1,Graduate,No,153800,160150,394700,36,1,Urban,Yes
DC001718,Male,No,0,Not Graduate,Yes,73290,20710,166400,36,0,Rural,No
DC001719,Male,No,0,Not Graduate,Yes,73270,20700,166500,36,0,Rural,No
DC001720,Female,Yes,0,Graduate,No,153900,160250,404700,36,1,Urban,Yes
DC001721,Male,No,2,Graduate,No,154000,160350,414700,36,1,Urban,Yes
DC001722,Male,Yes,0,Not Graduate,Yes,73210,20670,166600,36,0,Rural,No
DC001723,Male,Yes,3,Graduate,No,154100,160450,424700,18,1,Urban,Yes
DC001724,Male,Yes,1,Graduate,No,154200,160550,434700,18,1,Urban,Yes
DC001725,Male,No,0,Graduate,No,154300,160650,444700,36,1,Urban,Yes
DC001726,Male,No,1,Graduate,No,154400,160750,454700,36,1,Urban,Yes
DC001727,Male,Yes,1,Not Graduate,Yes,73110,20620,166700,36,0,Rural,No
DC001728,Male,Yes,0,Not Graduate,Yes,73090,20610,166800,36,0,Semiurban,No
DC001729,Male,Yes,0,Graduate,No,154500,160850,464700,36,1,Urban,Yes
DC001730,Female,No,0,Not Graduate,Yes,73050,20590,166900,24,0,Semiurban,No
DC001731,Male,No,0,Graduate,No,154600,160950,474700,36,1,Urban,Yes
DC001732,Male,No,0,Graduate,No,154700,161050,484700,36,1,Urban,Yes
DC001733,Male,Yes,0,Graduate,No,154800,161150,494700,36,1,Urban,Yes
DC001734,Male,Yes,2,Graduate,No,154900,161250,504700,36,1,Urban,Yes
DC001735,Male,Yes,1,Not Graduate,Yes,72950,20540,167000,36,0,Rural,No
DC001736,Male,Yes,1,Graduate,No,155000,161350,514700,36,1,Urban,Yes
DC001737,Male,Yes,0,Not Graduate,Yes,72910,20520,167100,36,0,Urban,No
DC001738,Male,Yes,0,Graduate,No,155100,161450,524700,18,1,Urban,Yes
DC001739,Female,Yes,1,Graduate,No,155200,161550,534700,36,1,Semiurban,Yes
DC001740,Female,No,0,Graduate,No,155300,161650,544700,36,1,Urban,Yes
DC001741,Male,Yes,3,Graduate,No,155400,161750,554700,36,1,Semiurban,Yes
DC001742,Female,Yes,0,Graduate,No,155500,161850,564700,36,1,Semiurban,Yes
DC001743,Male,Yes,0,Graduate,No,155600,161950,250000,36,1,Semiurban,Yes
DC001744,Male,Yes,2,Not Graduate,Yes,72770,20450,167200,36,0,Semiurban,No
DC001745,Male,Yes,1,Graduate,No,155700,162050,251250,36,1,Semiurban,Yes
DC001746,Male,Yes,0,Graduate,No,155800,162150,251750,36,1,Semiurban,Yes
DC001747,Male,No,0,Not Graduate,Yes,72710,20420,167300,36,0,Semiurban,No
DC001748,Male,Yes,2,Graduate,No,155900,162250,252750,36,1,Semiurban,Yes
DC001749,Male,Yes,0,Not Graduate,Yes,72670,20400,167400,36,0,Rural,No
DC001750,Male,No,0,Graduate,No,156000,162350,253625,36,1,Semiurban,Yes
DC001751,Male,Yes,3,Graduate,No,156100,162450,254500,36,1,Semiurban,Yes
DC001752,Male,No,0,Graduate,No,156200,162550,255375,36,1,Semiurban,Yes
DC001753,Male,Yes,0,Graduate,No,156300,162650,256250,36,1,Semiurban,Yes
DC001754,Male,Yes,1,Graduate,No,156400,162750,257125,36,1,Semiurban,Yes
DC001755,Male,Yes,0,Graduate,No,156500,162850,258000,36,1,Semiurban,Yes
DC001756,Male,Yes,2,Graduate,No,156600,162950,258875,36,1,Semiurban,Yes
DC001757,Male,Yes,2,Not Graduate,Yes,72510,20320,167500,48,0,Semiurban,No
DC001758,Male,Yes,3,Graduate,No,156700,163050,259750,36,1,Semiurban,Yes
DC001759,Male,Yes,2,Graduate,No,156800,163150,260625,24,1,Semiurban,Yes
DC001760,Female,No,0,Graduate,No,156900,163250,261500,36,1,Semiurban,Yes
DC001761,Male,Yes,1,Graduate,No,157000,163350,262375,36,1,Semiurban,Yes
DC001762,Male,No,0,Graduate,No,157100,163450,263250,36,1,Semiurban,Yes
DC001763,Male,Yes,2,Graduate,No,157200,163550,264125,36,1,Semiurban,Yes
DC001764,Male,No,0,Graduate,No,157300,163650,265000,36,1,Semiurban,Yes
DC001765,Male,Yes,0,Graduate,No,157400,163750,265875,36,1,Semiurban,Yes
DC001766,Male,Yes,1,Graduate,No,157500,163850,266750,36,1,Semiurban,Yes
DC001767,Male,Yes,1,Graduate,No,157600,163950,267625,36,1,Semiurban,Yes
DC001768,Male,Yes,1,Graduate,No,157700,164050,268500,24,1,Semiurban,Yes
DC001769,Male,Yes,0,Graduate,No,157800,164150,269375,36,1,Semiurban,Yes
DC001770,Male,No,0,Not Graduate,Yes,72250,37860,167600,36,0,Semiurban,No
DC001771,Male,Yes,2,Graduate,No,157900,164250,270250,36,1,Semiurban,Yes
DC001772,Male,Yes,0,Graduate,No,158000,164350,271125,18,1,Semiurban,Yes
DC001773,Male,Yes,2,Graduate,No,158100,164450,272000,24,1,Semiurban,Yes
DC001774,Male,Yes,0,Graduate,No,158200,164550,272875,18,1,Semiurban,Yes
DC001775,Male,Yes,0,Graduate,No,158300,164650,273750,36,1,Semiurban,Yes
DC001776,Male,No,0,Not Graduate,Yes,72130,37920,167700,36,0,Rural,No
DC001777,Female,Yes,2,Not Graduate,Yes,72110,37930,167800,36,0,Rural,No
DC001778,Male,No,2,Graduate,No,158400,164750,274625,36,1,Semiurban,Yes
DC001779,Male,Yes,0,Graduate,No,158500,164850,275500,36,1,Semiurban,Yes
DC001780,Male,Yes,2,Graduate,No,158600,164950,276375,36,1,Semiurban,Yes
DC001781,Male,No,3,Graduate,No,158700,165050,277250,18,1,Semiurban,Yes
DC001782,Male,Yes,0,Not Graduate,Yes,72010,37980,167900,36,0,Rural,No
DC001783,Male,Yes,3,Graduate,No,158800,165150,278125,36,1,Semiurban,Yes
DC001784,Male,No,0,Graduate,No,158900,165250,279000,36,1,Semiurban,Yes
DC001785,Male,Yes,1,Graduate,No,159000,165350,279875,36,1,Semiurban,Yes
DC001786,Male,Yes,0,Not Graduate,Yes,71930,38020,168000,24,0,Rural,No
DC001787,Male,Yes,1,Graduate,No,159100,165450,280750,36,1,Semiurban,Yes
DC001788,Male,Yes,2,Not Graduate,Yes,71890,38040,168100,36,0,Rural,No
DC001789,Female,Yes,0,Graduate,No,159200,165550,281625,36,1,Semiurban,Yes
DC001790,Female,No,0,Graduate,No,159300,165650,282500,36,1,Semiurban,Yes
DC001791,Male,Yes,3,Graduate,No,159400,165750,283375,24,1,Semiurban,Yes
DC001792,Male,Yes,1,Graduate,No,159500,165850,284250,36,1,Semiurban,Yes
DC001793,Male,Yes,2,Graduate,No,159600,165950,285125,36,1,Semiurban,Yes
DC001794,Male,No,0,Graduate,No,159700,166050,286000,36,1,Semiurban,Yes
DC001795,Male,No,3,Graduate,No,159800,166150,286875,36,1,Semiurban,Yes
DC001796,Male,Yes,0,Graduate,No,159900,166250,287750,36,1,Semiurban,Yes
DC001797,Female,Yes,3,Graduate,No,160000,166350,288625,36,1,Semiurban,Yes
DC001798,Female,Yes,0,Not Graduate,Yes,71690,38140,168200,36,0,Rural,No
DC001799,Male,No,3,Graduate,No,160100,166450,289500,36,1,Semiurban,Yes
DC001800,Male,Yes,1,Graduate,No,160200,166550,290375,24,1,Semiurban,Yes
DC001801,Male,Yes,0,Not Graduate,Yes,71630,38170,168300,36,0,Rural,No
DC001802,Female,Yes,1,Graduate,No,160300,166650,291250,36,1,Semiurban,Yes
DC001803,Male,Yes,0,Graduate,No,160400,166750,292125,36,1,Semiurban,Yes
DC001804,Male,Yes,0,Graduate,No,160500,166850,293000,24,1,Semiurban,Yes
DC001805,Male,Yes,0,Graduate,No,160600,166950,293875,36,1,Semiurban,Yes
DC001806,Male,Yes,2,Graduate,No,160700,167050,294750,36,1,Semiurban,Yes
DC001807,Male,Yes,3,Graduate,No,160800,167150,295625,36,1,Semiurban,Yes
DC001808,Male,No,0,Graduate,No,160900,167250,296500,36,1,Semiurban,Yes
DC001809,Male,Yes,1,Graduate,No,161000,167350,297375,12,1,Semiurban,Yes
DC001810,Male,No,0,Graduate,No,161100,167450,298250,36,1,Semiurban,Yes
DC001811,Female,No,0,Not Graduate,Yes,71430,38270,168400,24,0,Rural,No
DC001812,Male,No,0,Graduate,No,161200,167550,299125,36,1,Semiurban,Yes
DC001813,Male,Yes,0,Not Graduate,Yes,71390,38290,168500,36,0,Rural,No
DC001814,Male,Yes,2,Graduate,No,161300,167650,300000,24,1,Semiurban,Yes
DC001815,Male,Yes,1,Not Graduate,Yes,71350,38310,168600,36,0,Rural,No
DC001816,Male,Yes,0,Graduate,No,161400,167750,300875,36,1,Semiurban,Yes
DC001817,Male,Yes,0,Not Graduate,Yes,71310,38330,168700,36,0,Semiurban,No
DC001818,Male,Yes,0,Graduate,No,161500,167850,301750,36,1,Semiurban,Yes
DC001819,Male,Yes,0,Graduate,No,161600,167950,302625,36,1,Semiurban,Yes
DC001820,Male,Yes,1,Graduate,No,161700,168050,303500,36,1,Semiurban,Yes
DC001821,Male,Yes,0,Not Graduate,Yes,71230,38370,168800,36,0,Rural,No
DC001822,Male,No,2,Not Graduate,Yes,71210,38380,168900,24,0,Rural,No
DC001823,Male,No,0,Graduate,No,161800,168150,304375,36,1,Semiurban,Yes
DC001824,Female,Yes,0,Graduate,No,161900,168250,305250,36,1,Semiurban,Yes
DC001825,Male,No,0,Graduate,No,162000,168350,306125,36,1,Semiurban,Yes
DC001826,Male,No,0,Graduate,No,162100,168450,307000,36,1,Semiurban,Yes
DC001827,Male,Yes,0,Graduate,No,162200,168550,307875,36,1,Semiurban,Yes
DC001828,Female,No,0,Graduate,No,162300,168650,308750,36,1,Semiurban,Yes
DC001829,Female,Yes,0,Graduate,No,162400,168750,309625,36,1,Semiurban,Yes
DC001830,Male,Yes,0,Graduate,No,162500,168850,310500,24,1,Urban,Yes
DC001831,Male,Yes,2,Graduate,No,162600,168950,311375,36,1,Semiurban,Yes
DC001832,Male,No,2,Graduate,No,162700,169050,312250,36,1,Urban,Yes
DC001833,Male,No,1,Not Graduate,Yes,70990,38490,169000,36,0,Semiurban,No
DC001834,Male,No,0,Graduate,No,162800,169150,313125,36,1,Urban,Yes
DC001835,Male,No,3,Graduate,No,162900,169250,314000,36,1,Urban,Yes
DC001836,Male,Yes,1,Graduate,No,163000,169350,314875,36,1,Urban,Yes
DC001837,Male,Yes,1,Graduate,No,163100,169450,315750,36,1,Semiurban,Yes
DC001838,Male,Yes,0,Not Graduate,Yes,70890,38540,169100,24,0,Urban,No
DC001839,Male,No,1,Graduate,No,163200,169550,316625,24,1,Urban,Yes
DC001840,Male,Yes,0,Graduate,No,163300,169650,317500,36,1,Urban,Yes
DC001841,Male,Yes,1,Graduate,No,163400,169750,318375,36,1,Urban,Yes
DC001842,Female,Yes,0,Graduate,No,163500,169850,319250,36,1,Urban,Yes
DC001843,Male,No,1,Graduate,No,163600,169950,320125,36,1,Urban,Yes
DC001844,Male,Yes,0,Not Graduate,Yes,70770,38600,169200,36,0,Semiurban,No
DC001845,Male,No,0,Graduate,No,163700,170050,321000,36,1,Urban,Yes
DC001846,Female,No,0,Graduate,No,163800,170150,321875,36,1,Urban,Yes
DC001847,Male,Yes,0,Graduate,No,163900,170250,322750,36,1,Urban,Yes
DC001848,Male,Yes,0,Graduate,No,164000,170350,323625,36,1,Urban,Yes
DC001849,Male,Yes,2,Graduate,No,164100,170450,324500,36,1,Urban,Yes
DC001850,Male,Yes,0,Graduate,No,164200,170550,325375,36,1,Urban,Yes
DC001851,Male,Yes,0,Graduate,No,164300,170650,326250,36,1,Urban,Yes
DC001852,Male,Yes,0,Graduate,No,164400,170750,327125,36,1,Urban,Yes
DC001853,Female,Yes,2,Not Graduate,Yes,70590,38690,169300,36,0,Urban,No
DC001854,Female,Yes,1,Graduate,No,164500,170850,328000,36,1,Urban,Yes
DC001855,Male,Yes,2,Graduate,No,164600,170950,328875,36,1,Urban,Yes
DC001856,Male,Yes,0,Not Graduate,Yes,70530,38720,169400,18,0,Rural,No
DC001857,Male,Yes,1,Graduate,No,164700,171050,329750,36,1,Urban,Yes
DC001858,Male,No,1,Graduate,No,164800,171150,330625,36,1,Urban,Yes
DC001859,Female,Yes,0,Graduate,No,164900,171250,331500,36,1,Urban,Yes
DC001860,Female,No,3,Not Graduate,Yes,70450,38760,169500,18,0,Rural,No
DC001861,Female,Yes,2,Graduate,No,165000,171350,332375,36,1,Urban,Yes
DC001862,Male,Yes,0,Not Graduate,Yes,70410,38780,169600,12,0,Rural,No
DC001863,Male,No,3,Graduate,No,165100,171450,333250,36,1,Urban,Yes
DC001864,Male,Yes,1,Graduate,No,165200,171550,334125,36,1,Urban,Yes
DC001865,Male,Yes,0,Not Graduate,Yes,70350,38810,169700,36,0,Semiurban,No
DC001866,Male,No,0,Graduate,No,165300,171650,335000,30,1,Urban,Yes
DC001867,Male,Yes,0,Not Graduate,Yes,70310,38830,169800,12,0,Semiurban,No
DC001868,Male,Yes,0,Graduate,No,165400,171750,335875,36,1,Urban,Yes
DC001869,Male,No,1,Graduate,No,165500,171850,336750,48,1,Urban,Yes
DC001870,Female,No,0,Graduate,No,165600,171950,337625,36,1,Urban,Yes
DC001871,Male,Yes,0,Graduate,No,165700,172050,338500,36,1,Urban,Yes
DC001872,Male,Yes,0,Graduate,No,165800,172150,339375,30,1,Urban,Yes
DC001873,Male,Yes,1,Not Graduate,Yes,70190,38890,169900,36,0,Semiurban,No
DC001874,Female,No,1,Graduate,No,165900,172250,340250,36,1,Urban,Yes
DC001875,Male,Yes,2,Graduate,No,166000,172350,341125,36,1,Urban,Yes
DC001876,Male,Yes,3,Graduate,No,166100,172450,342000,36,1,Urban,Yes
DC001877,Female,Yes,0,Graduate,No,166200,172550,342875,36,1,Urban,Yes
DC001878,Male,Yes,3,Graduate,No,166300,172650,343750,24,1,Urban,Yes
DC001879,Female,No,0,Graduate,No,166400,172750,344625,36,1,Urban,Yes
DC001880,Male,Yes,1,Not Graduate,Yes,70050,38960,170000,36,0,Semiurban,No
DC001881,Male,Yes,3,Graduate,No,166500,172850,345500,36,1,Urban,Yes
DC001882,Male,No,2,Graduate,No,166600,172950,346375,36,1,Urban,Yes
DC001883,Male,Yes,0,Graduate,No,166700,173050,347250,36,1,Urban,Yes
DC001884,Female,Yes,1,Graduate,No,166800,173150,348125,36,1,Urban,Yes
DC001885,Male,Yes,2,Graduate,No,166900,173250,349000,18,1,Urban,Yes
DC001886,Male,Yes,0,Not Graduate,Yes,69930,39020,170100,36,0,Rural,No
DC001887,Male,No,0,Graduate,No,167000,173350,349875,36,1,Urban,Yes
DC001888,Female,No,0,Not Graduate,Yes,69890,39040,170200,12,0,Semiurban,No
DC001889,Female,No,0,Graduate,No,167100,173450,350750,36,1,Urban,Yes
DC001890,Male,Yes,3,Graduate,No,167200,173550,351625,36,1,Urban,Yes
DC001891,Male,Yes,0,Graduate,No,167300,173650,352500,36,1,Urban,Yes
DC001892,Male,Yes,0,Not Graduate,Yes,69810,39080,170300,18,0,Semiurban,No
DC001893,Female,Yes,1,Graduate,No,167400,173750,353375,36,1,Urban,Yes
DC001894,Male,Yes,2,Not Graduate,Yes,69770,39100,170400,18,0,Rural,No
DC001895,Male,No,1,Graduate,No,167500,173850,354250,36,1,Urban,Yes
DC001896,Male,Yes,0,Graduate,No,167600,173950,355125,36,1,Urban,Yes
DC001897,Female,Yes,3,Graduate,No,167700,174050,356000,36,1,Urban,Yes
DC001898,Female,Yes,1,Graduate,No,167800,174150,356875,36,1,Urban,Yes
DC001899,Male,Yes,2,Graduate,No,167900,174250,250000,36,1,Urban,Yes
DC001900,Male,No,0,Not Graduate,Yes,69650,39160,170500,36,0,Rural,No
DC001901,Female,Yes,0,Graduate,No,168000,174350,251250,36,1,Urban,Yes
DC001902,Male,Yes,0,Not Graduate,Yes,69610,39180,170600,48,0,Rural,No
DC001903,Female,No,0,Graduate,No,168100,174450,251750,36,1,Urban,Yes
DC001904,Male,Yes,0,Graduate,No,168200,174550,252750,36,1,Urban,Yes
DC001905,Male,Yes,0,Not Graduate,Yes,69550,39210,170700,12,0,Rural,No
DC001906,Male,No,1,Graduate,No,168300,174650,253625,36,1,Urban,Yes
DC001907,Male,No,0,Graduate,No,168400,174750,254500,36,1,Urban,Yes
DC001908,Female,Yes,0,Graduate,No,168500,174850,255375,18,1,Urban,Yes
DC001909,Male,Yes,2,Graduate,No,168600,174950,256250,36,1,Urban,Yes
DC001910,Male,Yes,2,Graduate,No,168700,175050,257125,36,1,Urban,Yes
DC001911,Male,Yes,1,Graduate,No,168800,175150,258000,36,1,Urban,Yes
DC001912,Male,No,0,Graduate,No,168900,175250,258875,36,1,Urban,Yes
DC001913,Female,Yes,0,Graduate,No,169000,175350,259750,36,1,Urban,Yes
DC001914,Male,No,3,Graduate,No,169100,175450,260625,36,1,Urban,Yes
DC001915,Male,No,0,Graduate,No,169200,175550,261500,36,1,Urban,Yes
DC001916,Male,Yes,0,Graduate,No,169300,175650,262375,36,1,Urban,Yes
DC001917,Male,Yes,2,Not Graduate,Yes,69310,39330,170800,36,0,Rural,No
DC001918,Female,No,0,Graduate,No,169400,175750,263250,36,1,Urban,Yes
DC001919,Female,No,0,Graduate,No,169500,175850,264125,36,1,Urban,Yes
DC001920,Male,Yes,0,Graduate,No,169600,175950,265000,18,1,Urban,Yes
DC001921,Male,Yes,0,Graduate,No,169700,176050,265875,36,1,Urban,Yes
DC001922,Male,No,2,Graduate,No,169800,176150,266750,48,1,Urban,Yes
DC001923,Male,No,1,Graduate,No,169900,176250,267625,36,1,Urban,Yes
DC001924,Male,No,0,Graduate,No,170000,176350,268500,36,1,Urban,Yes
DC001925,Male,Yes,0,Graduate,No,170100,176450,269375,12,1,Urban,Yes
DC001926,Male,No,0,Graduate,No,170200,176550,270250,36,1,Urban,Yes
DC001927,Female,Yes,0,Graduate,No,170300,176650,271125,36,1,Urban,Yes
DC001928,Female,Yes,3,Graduate,No,170400,176750,272000,36,1,Urban,Yes
DC001929,Male,Yes,3,Graduate,No,170500,176850,272875,36,1,Urban,Yes
DC001930,Female,No,0,Graduate,No,170600,176950,273750,36,1,Urban,Yes
DC001931,Male,Yes,2,Not Graduate,Yes,69030,39470,170900,36,0,Rural,No
DC001932,Male,Yes,2,Graduate,No,170700,177050,274625,36,1,Urban,Yes
DC001933,Male,No,2,Graduate,No,170800,177150,275500,36,1,Urban,Yes
DC001934,Male,No,0,Graduate,No,170900,177250,276375,18,1,Urban,Yes
DC001935,Male,Yes,0,Graduate,No,171000,177350,277250,36,1,Urban,Yes
DC001936,Male,Yes,0,Graduate,No,171100,177450,278125,18,1,Urban,Yes
DC001937,Male,Yes,0,Graduate,No,171200,177550,279000,36,1,Urban,Yes
DC001938,Male,Yes,2,Graduate,No,171300,177650,279875,36,1,Urban,Yes
DC001939,Male,Yes,0,Graduate,No,171400,177750,280750,36,1,Urban,Yes
DC001940,Male,No,0,Graduate,No,171500,177850,281625,36,1,Urban,Yes
DC001941,Male,Yes,0,Graduate,No,171600,177950,282500,36,1,Urban,Yes
DC001942,Female,No,0,Graduate,No,171700,178050,283375,36,1,Urban,Yes
DC001943,Female,Yes,0,Graduate,No,171800,178150,284250,36,1,Urban,Yes
DC001944,Female,No,0,Graduate,No,171900,178250,285125,36,1,Urban,Yes
DC001945,Male,Yes,0,Not Graduate,Yes,68750,39610,171000,36,0,Rural,No
DC001946,Male,No,1,Graduate,No,172000,178350,286000,36,1,Urban,Yes
